experiment,image,algo,threads,bw,run,event,value,unit
layout,Images/bsd_55067_100x67.jpg,seq,1,20,1,cycles,2626966746,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,1,instructions,7793794796,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,1,l1-dcache-loads,1171206539,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,1,l1-dcache-load-misses,154275549,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,1,cache-references,210074277,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,1,cache-misses,1424468,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,1,de_no_dispatch_per_slot.backend_stalls,12105173872,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,2,cycles,2632248620,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,2,instructions,7831258082,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,2,l1-dcache-loads,1174169704,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,2,l1-dcache-load-misses,153309891,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,2,cache-references,203955110,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,2,cache-misses,1430841,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,2,de_no_dispatch_per_slot.backend_stalls,12107801170,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,3,cycles,2633237446,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,3,instructions,7794652994,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,3,l1-dcache-loads,1157686337,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,3,l1-dcache-load-misses,151012914,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,3,cache-references,208595909,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,3,cache-misses,1326635,count
layout,Images/bsd_55067_100x67.jpg,seq,1,20,3,de_no_dispatch_per_slot.backend_stalls,12162957504,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,1,cycles,1279241149,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,1,instructions,2972998347,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,1,l1-dcache-loads,640145957,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,1,l1-dcache-load-misses,153604331,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,1,cache-references,213574129,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,1,cache-misses,1362643,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,1,de_no_dispatch_per_slot.backend_stalls,6096978686,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,2,cycles,1285487579,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,2,instructions,2983449467,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,2,l1-dcache-loads,646659443,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,2,l1-dcache-load-misses,153951250,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,2,cache-references,211693668,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,2,cache-misses,1361812,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,2,de_no_dispatch_per_slot.backend_stalls,6115756783,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,3,cycles,1294801729,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,3,instructions,2995565474,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,3,l1-dcache-loads,625193048,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,3,l1-dcache-load-misses,150202544,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,3,cache-references,209445504,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,3,cache-misses,1402659,count
layout,Images/bsd_55067_100x67.jpg,soa,1,20,3,de_no_dispatch_per_slot.backend_stalls,6170555796,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,1,cycles,2912277492,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,1,instructions,7982465796,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,1,l1-dcache-loads,1497157714,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,1,l1-dcache-load-misses,152764905,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,1,cache-references,208413070,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,1,cache-misses,1336281,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,1,de_no_dispatch_per_slot.backend_stalls,14218796045,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,2,cycles,2911171031,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,2,instructions,8002228035,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,2,l1-dcache-loads,1503013839,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,2,l1-dcache-load-misses,154348486,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,2,cache-references,210507577,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,2,cache-misses,1377625,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,2,de_no_dispatch_per_slot.backend_stalls,14232225882,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,cycles,2912052112,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,instructions,7982501007,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,l1-dcache-loads,1497148138,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,l1-dcache-load-misses,150689079,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,cache-references,209327969,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,cache-misses,1370935,count
layout,Images/bsd_55067_100x67.jpg,baseline,1,20,3,de_no_dispatch_per_slot.backend_stalls,14209614696,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,cycles,11359440067,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,instructions,35302346855,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,l1-dcache-loads,3879030460,count
layout,Images/bsd_76002_150x100.jpg,seq,1,20,1,l1-dcache-load-misses,436489043,count
