experiment,image,algo,threads,bw,run,event,value,unit
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,1,cycles,35229867675,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,1,instructions,103560118154,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,1,l1-dcache-loads,9343168236,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,1,l1-dcache-load-misses,1187651057,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,1,cache-misses,1528574,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,1,de_no_dispatch_per_slot.backend_stalls,178679111769,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,2,cycles,35237049374,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,2,instructions,103569406759,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,2,l1-dcache-loads,9340272334,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,2,l1-dcache-load-misses,1187369347,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,2,cache-misses,1898208,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,2,de_no_dispatch_per_slot.backend_stalls,178439955120,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,3,cycles,35236766902,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,3,instructions,103562325683,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,3,l1-dcache-loads,9344039598,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,3,l1-dcache-load-misses,1188220689,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,3,cache-misses,1777632,count
scaling,Images/bsd_124084_200x133.jpg,omp,1,20,3,de_no_dispatch_per_slot.backend_stalls,178647241505,count
scaling,Images/bsd_124084_200x133.jpg,omp,2,20,1,cycles,35265758175,count
scaling,Images/bsd_124084_200x133.jpg,omp,2,20,1,instructions,103568763226,count
scaling,Images/bsd_124084_200x133.jpg,omp,2,20,1,l1-dcache-loads,9343151965,count
scaling,Images/bsd_124084_200x133.jpg,omp,2,20,1,l1-dcache-load-misses,1188668935,count
scaling,Images/bsd_124084_200x133.jpg,omp,2,20,1,cache-misses,1615993,count
scaling,Images/bsd_124084_200x133.jpg,omp,2,20,1,de_no_dispatch_per_slot.backend_stalls,178785308652,count
scaling,Images/bsd_124084_200x133.jpg,omp,2,20,2,cycles,35283171604,count
